Sn,Id,Ls,St,Rs,Lw,Lf,Cf,Rf,Rw,Lam,Cam,Ram,Lm,Lcm,Cm,Rcm,Rm,Lwb,Ldm,Cdm,Rdm,Rwb,Lb,Lcb,Cb,Rcb,Rb,Original_Position
11615,214014,62+2,62+2,62+2,66+2,65+2,65+2,65+2,66+2,66+2,66+2,66+2,66+2,61+2,61+2,61+2,66+2,54+2,52+2,52+2,52+2,54+2,52+2,46+2,46+2,46+2,52+2,"CAM,LM,CDM"
11616,208638,53+2,53+2,53+2,55+2,53+2,53+2,53+2,55+2,54+2,54+2,54+2,57+2,56+2,56+2,56+2,57+2,64+2,63+2,63+2,63+2,64+2,65+2,66+2,66+2,66+2,65+2,RB
11617,210941,,,,,,,,,,,,,,,,,,,,,,,,,,,GK
11618,205565,42+2,42+2,42+2,36+2,36+2,36+2,36+2,36+2,36+2,36+2,36+2,40+2,44+2,44+2,44+2,40+2,55+2,58+2,58+2,58+2,55+2,57+2,66+2,66+2,66+2,57+2,"CB,LB"
11619,202749,53+2,53+2,53+2,53+2,52+2,52+2,52+2,53+2,54+2,54+2,54+2,55+2,57+2,57+2,57+2,55+2,63+2,63+2,63+2,63+2,63+2,64+2,66+2,66+2,66+2,64+2,CB
11620,177404,56+2,56+2,56+2,58+2,58+2,58+2,58+2,58+2,60+2,60+2,60+2,60+2,63+2,63+2,63+2,60+2,64+2,66+2,66+2,66+2,64+2,64+2,65+2,65+2,65+2,64+2,"CDM,CM"
11621,171772,49+2,49+2,49+2,48+2,47+2,47+2,47+2,48+2,49+2,49+2,49+2,50+2,53+2,53+2,53+2,50+2,60+2,62+2,62+2,62+2,60+2,61+2,66+2,66+2,66+2,61+2,CB
11622,234748,,,,,,,,,,,,,,,,,,,,,,,,,,,GK
11623,226556,59+2,59+2,59+2,67+2,64+2,64+2,64+2,67+2,67+2,67+2,67+2,68+2,66+2,66+2,66+2,68+2,61+2,59+2,59+2,59+2,61+2,58+2,52+2,52+2,52+2,58+2,"CM,RM,LM"
11624,232699,61+2,61+2,61+2,67+2,65+2,65+2,65+2,67+2,65+2,65+2,65+2,67+2,59+2,59+2,59+2,67+2,52+2,44+2,44+2,44+2,52+2,49+2,34+2,34+2,34+2,49+2,"RW,RM"
11625,104442,62+2,62+2,62+2,66+2,65+2,65+2,65+2,66+2,65+2,65+2,65+2,66+2,60+2,60+2,60+2,66+2,55+2,52+2,52+2,52+2,55+2,52+2,46+2,46+2,46+2,52+2,RM
11626,207610,,,,,,,,,,,,,,,,,,,,,,,,,,,GK
11627,202231,62+2,62+2,62+2,64+2,63+2,63+2,63+2,64+2,63+2,63+2,63+2,64+2,63+2,63+2,63+2,64+2,66+2,64+2,64+2,64+2,66+2,65+2,64+2,64+2,64+2,65+2,"LB,RB"
11628,199159,61+2,61+2,61+2,65+2,64+2,64+2,64+2,65+2,66+2,66+2,66+2,66+2,68+2,68+2,68+2,66+2,64+2,65+2,65+2,65+2,64+2,62+2,60+2,60+2,60+2,62+2,"CDM,CM"
11629,191990,61+2,61+2,61+2,65+2,64+2,64+2,64+2,65+2,65+2,65+2,65+2,65+2,65+2,65+2,65+2,65+2,66+2,66+2,66+2,66+2,66+2,66+2,65+2,65+2,65+2,66+2,"LB,LM"
11630,245238,45+2,45+2,45+2,44+2,44+2,44+2,44+2,44+2,45+2,45+2,45+2,46+2,50+2,50+2,50+2,46+2,59+2,61+2,61+2,61+2,59+2,61+2,66+2,66+2,66+2,61+2,CB
11631,243446,62+2,62+2,62+2,65+2,63+2,63+2,63+2,65+2,63+2,63+2,63+2,65+2,59+2,59+2,59+2,65+2,60+2,56+2,56+2,56+2,60+2,59+2,55+2,55+2,55+2,59+2,"LM,LW"
11632,167926,59+2,59+2,59+2,60+2,60+2,60+2,60+2,60+2,61+2,61+2,61+2,62+2,63+2,63+2,63+2,62+2,65+2,66+2,66+2,66+2,65+2,64+2,65+2,65+2,65+2,64+2,"CDM,CM"
11633,211702,45+2,45+2,45+2,41+2,43+2,43+2,43+2,41+2,45+2,45+2,45+2,45+2,51+2,51+2,51+2,45+2,55+2,60+2,60+2,60+2,55+2,57+2,65+2,65+2,65+2,57+2,CB
11634,210422,,,,,,,,,,,,,,,,,,,,,,,,,,,GK
11635,204534,,,,,,,,,,,,,,,,,,,,,,,,,,,GK
11636,235253,58+2,58+2,58+2,66+2,63+2,63+2,63+2,66+2,66+2,66+2,66+2,67+2,65+2,65+2,65+2,67+2,66+2,65+2,65+2,65+2,66+2,65+2,63+2,63+2,63+2,65+2,"CDM,RB"
11637,234741,59+2,59+2,59+2,64+2,63+2,63+2,63+2,64+2,65+2,65+2,65+2,64+2,65+2,65+2,65+2,64+2,64+2,64+2,64+2,64+2,64+2,61+2,59+2,59+2,59+2,61+2,"CM,CDM"
11638,234229,54+2,54+2,54+2,56+2,54+2,54+2,54+2,56+2,55+2,55+2,55+2,59+2,58+2,58+2,58+2,59+2,66+2,66+2,66+2,66+2,66+2,67+2,69+2,69+2,69+2,67+2,"CDM,CB,RB"
11639,225013,59+2,59+2,59+2,57+2,58+2,58+2,58+2,57+2,58+2,58+2,58+2,58+2,62+2,62+2,62+2,58+2,62+2,65+2,65+2,65+2,62+2,62+2,68+2,68+2,68+2,62+2,"CDM,CB"
11640,216053,65+2,65+2,65+2,60+2,62+2,62+2,62+2,60+2,60+2,60+2,60+2,58+2,54+2,54+2,54+2,58+2,44+2,45+2,45+2,45+2,44+2,43+2,47+2,47+2,47+2,43+2,ST
11641,246772,50+2,50+2,50+2,48+2,49+2,49+2,49+2,48+2,50+2,50+2,50+2,51+2,54+2,54+2,54+2,51+2,60+2,62+2,62+2,62+2,60+2,62+2,66+2,66+2,66+2,62+2,CB
11642,175092,60+2,60+2,60+2,59+2,59+2,59+2,59+2,59+2,59+2,59+2,59+2,59+2,62+2,62+2,62+2,59+2,65+2,66+2,66+2,66+2,65+2,65+2,68+2,68+2,68+2,65+2,"LB,CB"
11643,234740,59+2,59+2,59+2,66+2,64+2,64+2,64+2,66+2,65+2,65+2,65+2,66+2,61+2,61+2,61+2,66+2,55+2,51+2,51+2,51+2,55+2,52+2,43+2,43+2,43+2,52+2,LM
11644,229620,61+2,61+2,61+2,66+2,65+2,65+2,65+2,66+2,64+2,64+2,64+2,66+2,59+2,59+2,59+2,66+2,59+2,54+2,54+2,54+2,59+2,57+2,51+2,51+2,51+2,57+2,"RM,LM"
11645,221684,58+2,58+2,58+2,62+2,61+2,61+2,61+2,62+2,62+2,62+2,62+2,64+2,64+2,64+2,64+2,64+2,65+2,66+2,66+2,66+2,65+2,65+2,66+2,66+2,66+2,65+2,LB
11646,219636,55+2,55+2,55+2,58+2,57+2,57+2,57+2,58+2,59+2,59+2,59+2,59+2,63+2,63+2,63+2,59+2,65+2,65+2,65+2,65+2,65+2,64+2,63+2,63+2,63+2,64+2,"CDM,CM"
11647,235507,64+2,64+2,64+2,67+2,66+2,66+2,66+2,67+2,66+2,66+2,66+2,66+2,58+2,58+2,58+2,66+2,50+2,46+2,46+2,46+2,50+2,47+2,40+2,40+2,40+2,47+2,"CAM,ST,RM,LM"
11648,163571,61+2,61+2,61+2,66+2,65+2,65+2,65+2,66+2,66+2,66+2,66+2,66+2,62+2,62+2,62+2,66+2,55+2,53+2,53+2,53+2,55+2,52+2,45+2,45+2,45+2,52+2,LM
11649,224243,60+2,60+2,60+2,67+2,65+2,65+2,65+2,67+2,65+2,65+2,65+2,67+2,61+2,61+2,61+2,67+2,57+2,53+2,53+2,53+2,57+2,55+2,47+2,47+2,47+2,55+2,LW
11650,177138,66+2,66+2,66+2,67+2,67+2,67+2,67+2,67+2,67+2,67+2,67+2,65+2,64+2,64+2,64+2,65+2,58+2,59+2,59+2,59+2,58+2,57+2,59+2,59+2,59+2,57+2,"RM,RW,CAM"
11651,240114,41+2,41+2,41+2,37+2,38+2,38+2,38+2,37+2,38+2,38+2,38+2,38+2,42+2,42+2,42+2,38+2,52+2,56+2,56+2,56+2,52+2,55+2,65+2,65+2,65+2,55+2,CB
11652,172786,61+2,61+2,61+2,64+2,64+2,64+2,64+2,64+2,66+2,66+2,66+2,65+2,65+2,65+2,65+2,65+2,58+2,57+2,57+2,57+2,58+2,56+2,51+2,51+2,51+2,56+2,"CAM,CM"
11653,169458,42+2,42+2,42+2,41+2,41+2,41+2,41+2,41+2,42+2,42+2,42+2,42+2,46+2,46+2,46+2,42+2,53+2,58+2,58+2,58+2,53+2,55+2,65+2,65+2,65+2,55+2,CB
11654,221425,61+2,61+2,61+2,66+2,65+2,65+2,65+2,66+2,67+2,67+2,67+2,67+2,66+2,66+2,66+2,67+2,61+2,61+2,61+2,61+2,61+2,59+2,54+2,54+2,54+2,59+2,"CM,RM,LM"
11655,189936,,,,,,,,,,,,,,,,,,,,,,,,,,,GK
11656,237040,45+2,45+2,45+2,39+2,41+2,41+2,41+2,39+2,42+2,42+2,42+2,42+2,48+2,48+2,48+2,42+2,55+2,60+2,60+2,60+2,55+2,58+2,65+2,65+2,65+2,58+2,CB
11657,224496,48+2,48+2,48+2,56+2,52+2,52+2,52+2,56+2,54+2,54+2,54+2,59+2,58+2,58+2,58+2,59+2,67+2,64+2,64+2,64+2,67+2,66+2,63+2,63+2,63+2,66+2,LB
11658,213488,60+2,60+2,60+2,65+2,64+2,64+2,64+2,65+2,66+2,66+2,66+2,65+2,63+2,63+2,63+2,65+2,52+2,51+2,51+2,51+2,52+2,48+2,41+2,41+2,41+2,48+2,CAM
11659,236015,61+2,61+2,61+2,64+2,64+2,64+2,64+2,64+2,66+2,66+2,66+2,64+2,66+2,66+2,66+2,64+2,59+2,60+2,60+2,60+2,59+2,57+2,55+2,55+2,55+2,57+2,"CM,CAM,LW"
11660,213743,65+2,65+2,65+2,54+2,59+2,59+2,59+2,54+2,55+2,55+2,55+2,51+2,49+2,49+2,49+2,51+2,35+2,40+2,40+2,40+2,35+2,34+2,43+2,43+2,43+2,34+2,ST
11661,175598,63+2,63+2,63+2,58+2,61+2,61+2,61+2,58+2,61+2,61+2,61+2,59+2,65+2,65+2,65+2,59+2,62+2,67+2,67+2,67+2,62+2,62+2,66+2,66+2,66+2,62+2,CM
11662,238062,53+2,53+2,53+2,57+2,57+2,57+2,57+2,57+2,60+2,60+2,60+2,59+2,64+2,64+2,64+2,59+2,62+2,66+2,66+2,66+2,62+2,62+2,64+2,64+2,64+2,62+2,"CDM,CM"
11663,214254,48+2,48+2,48+2,49+2,47+2,47+2,47+2,49+2,48+2,48+2,48+2,52+2,51+2,51+2,51+2,52+2,61+2,61+2,61+2,61+2,61+2,63+2,65+2,65+2,65+2,63+2,"CB,RB"
11664,213486,62+2,62+2,62+2,65+2,64+2,64+2,64+2,65+2,64+2,64+2,64+2,65+2,60+2,60+2,60+2,65+2,56+2,53+2,53+2,53+2,56+2,54+2,48+2,48+2,48+2,54+2,"RM,RW"
11665,237293,61+2,61+2,61+2,66+2,64+2,64+2,64+2,66+2,64+2,64+2,64+2,66+2,58+2,58+2,58+2,66+2,51+2,45+2,45+2,45+2,51+2,47+2,36+2,36+2,36+2,47+2,"LM,CAM,ST"
11666,214509,51+2,51+2,51+2,50+2,51+2,51+2,51+2,50+2,53+2,53+2,53+2,53+2,59+2,59+2,59+2,53+2,60+2,66+2,66+2,66+2,60+2,61+2,66+2,66+2,66+2,61+2,"CDM,CM,CB"
11667,199917,62+2,62+2,62+2,65+2,65+2,65+2,65+2,65+2,66+2,66+2,66+2,65+2,65+2,65+2,65+2,65+2,63+2,63+2,63+2,63+2,63+2,62+2,60+2,60+2,60+2,62+2,"CM,CDM"
11668,191980,64+2,64+2,64+2,65+2,64+2,64+2,64+2,65+2,64+2,64+2,64+2,65+2,63+2,63+2,63+2,65+2,66+2,65+2,65+2,65+2,66+2,66+2,66+2,66+2,66+2,66+2,"LB,LM,RB,CM"
11669,220396,65+2,65+2,65+2,64+2,66+2,66+2,66+2,64+2,63+2,63+2,63+2,62+2,54+2,54+2,54+2,62+2,44+2,40+2,40+2,40+2,44+2,41+2,35+2,35+2,35+2,41+2,"ST,CF,CAM"
11670,220139,63+2,63+2,63+2,66+2,66+2,66+2,66+2,66+2,65+2,65+2,65+2,66+2,62+2,62+2,62+2,66+2,59+2,57+2,57+2,57+2,59+2,57+2,51+2,51+2,51+2,57+2,CAM
11671,213736,,,,,,,,,,,,,,,,,,,,,,,,,,,GK
11672,183527,61+2,61+2,61+2,63+2,63+2,63+2,63+2,63+2,63+2,63+2,63+2,64+2,65+2,65+2,65+2,64+2,67+2,68+2,68+2,68+2,67+2,66+2,68+2,68+2,68+2,66+2,"CM,CDM"
11673,179687,61+2,61+2,61+2,64+2,63+2,63+2,63+2,64+2,64+2,64+2,64+2,65+2,64+2,64+2,64+2,65+2,67+2,65+2,65+2,65+2,67+2,66+2,63+2,63+2,63+2,66+2,RB
11674,219623,56+2,56+2,56+2,65+2,61+2,61+2,61+2,65+2,64+2,64+2,64+2,65+2,61+2,61+2,61+2,65+2,60+2,57+2,57+2,57+2,60+2,58+2,54+2,54+2,54+2,58+2,"RM,RW"
11675,216295,65+2,65+2,65+2,66+2,65+2,65+2,65+2,66+2,65+2,65+2,65+2,65+2,57+2,57+2,57+2,65+2,45+2,42+2,42+2,42+2,45+2,42+2,36+2,36+2,36+2,42+2,"RM,LM"
11676,215527,46+2,46+2,46+2,49+2,48+2,48+2,48+2,49+2,50+2,50+2,50+2,53+2,55+2,55+2,55+2,53+2,62+2,63+2,63+2,63+2,62+2,63+2,66+2,66+2,66+2,63+2,"CB,RB"
11677,203751,55+2,55+2,55+2,60+2,58+2,58+2,58+2,60+2,59+2,59+2,59+2,62+2,61+2,61+2,61+2,62+2,65+2,63+2,63+2,63+2,65+2,65+2,63+2,63+2,63+2,65+2,LB
11678,196070,53+2,53+2,53+2,50+2,51+2,51+2,51+2,50+2,50+2,50+2,50+2,52+2,54+2,54+2,54+2,52+2,61+2,61+2,61+2,61+2,61+2,62+2,65+2,65+2,65+2,62+2,CB
11679,188390,51+2,51+2,51+2,56+2,55+2,55+2,55+2,56+2,57+2,57+2,57+2,60+2,61+2,61+2,61+2,60+2,65+2,66+2,66+2,66+2,65+2,65+2,67+2,67+2,67+2,65+2,RB
11680,247270,61+2,61+2,61+2,62+2,63+2,63+2,63+2,62+2,64+2,64+2,64+2,63+2,65+2,65+2,65+2,63+2,59+2,61+2,61+2,61+2,59+2,57+2,55+2,55+2,55+2,57+2,"CM,RM,CDM,LM"
11681,178150,66+2,66+2,66+2,63+2,63+2,63+2,63+2,63+2,61+2,61+2,61+2,62+2,55+2,55+2,55+2,62+2,52+2,50+2,50+2,50+2,52+2,50+2,50+2,50+2,50+2,50+2,"ST,LW,CAM"
11682,111590,61+2,61+2,61+2,65+2,63+2,63+2,63+2,65+2,63+2,63+2,63+2,66+2,60+2,60+2,60+2,66+2,58+2,53+2,53+2,53+2,58+2,56+2,48+2,48+2,48+2,56+2,"RM,LM"
11683,151270,64+2,64+2,64+2,66+2,66+2,66+2,66+2,66+2,67+2,67+2,67+2,66+2,66+2,66+2,66+2,66+2,57+2,57+2,57+2,57+2,57+2,54+2,50+2,50+2,50+2,54+2,"LW,RW,CAM"
11684,208102,47+2,47+2,47+2,44+2,44+2,44+2,44+2,44+2,44+2,44+2,44+2,47+2,49+2,49+2,49+2,47+2,58+2,60+2,60+2,60+2,58+2,61+2,66+2,66+2,66+2,61+2,CB
11685,201446,63+2,63+2,63+2,66+2,65+2,65+2,65+2,66+2,66+2,66+2,66+2,67+2,65+2,65+2,65+2,67+2,62+2,62+2,62+2,62+2,62+2,60+2,57+2,57+2,57+2,60+2,"CM,CAM,LM"
11686,179685,,,,,,,,,,,,,,,,,,,,,,,,,,,GK
11687,244197,61+2,61+2,61+2,66+2,63+2,63+2,63+2,66+2,64+2,64+2,64+2,66+2,60+2,60+2,60+2,66+2,53+2,49+2,49+2,49+2,53+2,50+2,42+2,42+2,42+2,50+2,RM
11688,176357,60+2,60+2,60+2,58+2,59+2,59+2,59+2,58+2,60+2,60+2,60+2,60+2,63+2,63+2,63+2,60+2,63+2,66+2,66+2,66+2,63+2,63+2,67+2,67+2,67+2,63+2,"CDM,CB"
11689,233957,59+2,59+2,59+2,60+2,61+2,61+2,61+2,60+2,62+2,62+2,62+2,63+2,65+2,65+2,65+2,63+2,62+2,64+2,64+2,64+2,62+2,61+2,60+2,60+2,60+2,61+2,"CM,CDM"
11690,215013,54+2,54+2,54+2,53+2,53+2,53+2,53+2,53+2,53+2,53+2,53+2,56+2,56+2,56+2,56+2,56+2,63+2,63+2,63+2,63+2,63+2,64+2,65+2,65+2,65+2,64+2,CB
11691,206053,66+2,66+2,66+2,67+2,65+2,65+2,65+2,67+2,64+2,64+2,64+2,65+2,57+2,57+2,57+2,65+2,52+2,47+2,47+2,47+2,52+2,49+2,44+2,44+2,44+2,49+2,"ST,RW"
11692,138981,60+2,60+2,60+2,63+2,62+2,62+2,62+2,63+2,62+2,62+2,62+2,63+2,62+2,62+2,62+2,63+2,66+2,65+2,65+2,65+2,66+2,66+2,66+2,66+2,66+2,66+2,LB
11693,202469,,,,,,,,,,,,,,,,,,,,,,,,,,,GK
11694,190180,56+2,56+2,56+2,55+2,54+2,54+2,54+2,55+2,54+2,54+2,54+2,58+2,58+2,58+2,58+2,58+2,64+2,64+2,64+2,64+2,64+2,65+2,66+2,66+2,66+2,65+2,"CB,RB"
11695,185316,42+2,42+2,42+2,42+2,41+2,41+2,41+2,42+2,44+2,44+2,44+2,45+2,51+2,51+2,51+2,45+2,56+2,61+2,61+2,61+2,56+2,58+2,65+2,65+2,65+2,58+2,CB
11696,240100,51+2,51+2,51+2,58+2,55+2,55+2,55+2,58+2,57+2,57+2,57+2,60+2,58+2,58+2,58+2,60+2,66+2,61+2,61+2,61+2,66+2,65+2,61+2,61+2,61+2,65+2,LB
11697,221924,62+2,62+2,62+2,68+2,66+2,66+2,66+2,68+2,68+2,68+2,68+2,69+2,66+2,66+2,66+2,69+2,60+2,60+2,60+2,60+2,60+2,57+2,52+2,52+2,52+2,57+2,CM
11698,215268,65+2,65+2,65+2,58+2,60+2,60+2,60+2,58+2,57+2,57+2,57+2,56+2,51+2,51+2,51+2,56+2,43+2,41+2,41+2,41+2,43+2,42+2,43+2,43+2,43+2,42+2,ST
11699,226787,64+2,64+2,64+2,65+2,65+2,65+2,65+2,65+2,66+2,66+2,66+2,65+2,60+2,60+2,60+2,65+2,46+2,43+2,43+2,43+2,46+2,42+2,36+2,36+2,36+2,42+2,"LM,RM,RW"
11700,224995,53+2,53+2,53+2,61+2,57+2,57+2,57+2,61+2,57+2,57+2,57+2,63+2,56+2,56+2,56+2,63+2,66+2,60+2,60+2,60+2,66+2,66+2,59+2,59+2,59+2,66+2,"RB,RM"
11701,201955,59+2,59+2,59+2,60+2,60+2,60+2,60+2,60+2,59+2,59+2,59+2,62+2,60+2,60+2,60+2,62+2,66+2,64+2,64+2,64+2,66+2,66+2,66+2,66+2,66+2,66+2,LB
11702,171490,,,,,,,,,,,,,,,,,,,,,,,,,,,GK
11703,231394,67+2,67+2,67+2,67+2,67+2,67+2,67+2,67+2,65+2,65+2,65+2,67+2,62+2,62+2,62+2,67+2,62+2,60+2,60+2,60+2,62+2,61+2,60+2,60+2,60+2,61+2,"LW,RW"
11704,209378,58+2,58+2,58+2,60+2,59+2,59+2,59+2,60+2,60+2,60+2,60+2,62+2,62+2,62+2,62+2,62+2,66+2,65+2,65+2,65+2,66+2,66+2,66+2,66+2,66+2,66+2,LB
11705,10466,63+2,63+2,63+2,66+2,65+2,65+2,65+2,66+2,67+2,67+2,67+2,67+2,66+2,66+2,66+2,67+2,59+2,59+2,59+2,59+2,59+2,56+2,54+2,54+2,54+2,56+2,"CM,CAM"
11706,138722,57+2,57+2,57+2,59+2,58+2,58+2,58+2,59+2,59+2,59+2,59+2,60+2,61+2,61+2,61+2,60+2,66+2,66+2,66+2,66+2,66+2,66+2,67+2,67+2,67+2,66+2,"RB,LB"
11707,194785,46+2,46+2,46+2,51+2,47+2,47+2,47+2,51+2,50+2,50+2,50+2,53+2,53+2,53+2,53+2,53+2,62+2,62+2,62+2,62+2,62+2,63+2,66+2,66+2,66+2,63+2,"CB,LB,RB"
11708,192481,60+2,60+2,60+2,66+2,63+2,63+2,63+2,66+2,63+2,63+2,63+2,65+2,57+2,57+2,57+2,65+2,52+2,47+2,47+2,47+2,52+2,48+2,40+2,40+2,40+2,48+2,"RM,CAM"
11709,237537,59+2,59+2,59+2,63+2,62+2,62+2,62+2,63+2,62+2,62+2,62+2,64+2,62+2,62+2,62+2,64+2,67+2,62+2,62+2,62+2,67+2,66+2,60+2,60+2,60+2,66+2,LB
11710,221665,61+2,61+2,61+2,65+2,62+2,62+2,62+2,65+2,62+2,62+2,62+2,66+2,61+2,61+2,61+2,66+2,66+2,62+2,62+2,62+2,66+2,65+2,61+2,61+2,61+2,65+2,LWB
11711,202977,61+2,61+2,61+2,59+2,62+2,62+2,62+2,59+2,63+2,63+2,63+2,61+2,66+2,66+2,66+2,61+2,62+2,68+2,68+2,68+2,62+2,63+2,66+2,66+2,66+2,63+2,"CB,CDM"
11712,194272,,,,,,,,,,,,,,,,,,,,,,,,,,,GK
11713,190176,58+2,58+2,58+2,58+2,59+2,59+2,59+2,58+2,61+2,61+2,61+2,59+2,63+2,63+2,63+2,59+2,61+2,65+2,65+2,65+2,61+2,61+2,63+2,63+2,63+2,61+2,"CDM,CM"
11714,184288,47+2,47+2,47+2,43+2,45+2,45+2,45+2,43+2,46+2,46+2,46+2,47+2,52+2,52+2,52+2,47+2,57+2,62+2,62+2,62+2,57+2,59+2,65+2,65+2,65+2,59+2,CB
11715,232156,62+2,62+2,62+2,65+2,64+2,64+2,64+2,65+2,63+2,63+2,63+2,65+2,61+2,61+2,61+2,65+2,61+2,57+2,57+2,57+2,61+2,60+2,55+2,55+2,55+2,60+2,"LM,LB"
11716,228828,50+2,50+2,50+2,51+2,50+2,50+2,50+2,51+2,51+2,51+2,51+2,53+2,54+2,54+2,54+2,53+2,62+2,62+2,62+2,62+2,62+2,63+2,66+2,66+2,66+2,63+2,"CB,RB"
11717,226012,61+2,61+2,61+2,65+2,64+2,64+2,64+2,65+2,65+2,65+2,65+2,65+2,66+2,66+2,66+2,65+2,65+2,65+2,65+2,65+2,65+2,64+2,62+2,62+2,62+2,64+2,"CM,RM"
11718,158172,57+2,57+2,57+2,60+2,59+2,59+2,59+2,60+2,60+2,60+2,60+2,62+2,63+2,63+2,63+2,62+2,66+2,66+2,66+2,66+2,66+2,66+2,65+2,65+2,65+2,66+2,"LB,CB,CDM"
11719,213724,58+2,58+2,58+2,63+2,63+2,63+2,63+2,63+2,66+2,66+2,66+2,62+2,63+2,63+2,63+2,62+2,53+2,55+2,55+2,55+2,53+2,51+2,48+2,48+2,48+2,51+2,"CAM,CM,LM"
11720,190939,66+2,66+2,66+2,63+2,64+2,64+2,64+2,63+2,62+2,62+2,62+2,61+2,54+2,54+2,54+2,61+2,50+2,44+2,44+2,44+2,50+2,49+2,43+2,43+2,43+2,49+2,"ST,CF"
11721,184283,58+2,58+2,58+2,59+2,59+2,59+2,59+2,59+2,59+2,59+2,59+2,61+2,61+2,61+2,61+2,61+2,66+2,65+2,65+2,65+2,66+2,66+2,66+2,66+2,66+2,66+2,"RB,RM,LM"
11722,242651,61+2,61+2,61+2,65+2,64+2,64+2,64+2,65+2,65+2,65+2,65+2,65+2,63+2,63+2,63+2,65+2,61+2,60+2,60+2,60+2,61+2,60+2,56+2,56+2,56+2,60+2,"RM,CAM"
11723,226523,45+2,45+2,45+2,45+2,45+2,45+2,45+2,45+2,46+2,46+2,46+2,48+2,50+2,50+2,50+2,48+2,56+2,60+2,60+2,60+2,56+2,58+2,66+2,66+2,66+2,58+2,CB
11724,225755,59+2,59+2,59+2,65+2,64+2,64+2,64+2,65+2,66+2,66+2,66+2,66+2,64+2,64+2,64+2,66+2,58+2,58+2,58+2,58+2,58+2,56+2,52+2,52+2,52+2,56+2,"RM,CAM,LM,CM"
11725,213979,55+2,55+2,55+2,58+2,56+2,56+2,56+2,58+2,55+2,55+2,55+2,60+2,57+2,57+2,57+2,60+2,65+2,62+2,62+2,62+2,65+2,65+2,65+2,65+2,65+2,65+2,LB
11726,212443,60+2,60+2,60+2,60+2,61+2,61+2,61+2,60+2,63+2,63+2,63+2,61+2,66+2,66+2,66+2,61+2,63+2,67+2,67+2,67+2,63+2,63+2,67+2,67+2,67+2,63+2,"CM,CB,CDM"
11727,204763,58+2,58+2,58+2,61+2,59+2,59+2,59+2,61+2,60+2,60+2,60+2,63+2,62+2,62+2,62+2,63+2,65+2,63+2,63+2,63+2,65+2,65+2,62+2,62+2,62+2,65+2,"LB,LM"
11728,202459,64+2,64+2,64+2,66+2,66+2,66+2,66+2,66+2,66+2,66+2,66+2,67+2,64+2,64+2,64+2,67+2,60+2,58+2,58+2,58+2,60+2,59+2,53+2,53+2,53+2,59+2,CAM
11729,247258,59+2,59+2,59+2,65+2,63+2,63+2,63+2,65+2,65+2,65+2,65+2,66+2,65+2,65+2,65+2,66+2,66+2,64+2,64+2,64+2,66+2,65+2,60+2,60+2,60+2,65+2,CM
11730,173530,61+2,61+2,61+2,66+2,65+2,65+2,65+2,66+2,65+2,65+2,65+2,65+2,60+2,60+2,60+2,65+2,54+2,49+2,49+2,49+2,54+2,51+2,42+2,42+2,42+2,51+2,"RM,RW"
11731,216282,52+2,52+2,52+2,56+2,54+2,54+2,54+2,56+2,55+2,55+2,55+2,57+2,57+2,57+2,57+2,57+2,64+2,63+2,63+2,63+2,64+2,65+2,64+2,64+2,64+2,65+2,"RB,RWB"
11732,206298,44+2,44+2,44+2,41+2,41+2,41+2,41+2,41+2,42+2,42+2,42+2,44+2,48+2,48+2,48+2,44+2,57+2,60+2,60+2,60+2,57+2,60+2,66+2,66+2,66+2,60+2,CB
11733,210137,60+2,60+2,60+2,60+2,61+2,61+2,61+2,60+2,63+2,63+2,63+2,62+2,65+2,65+2,65+2,62+2,64+2,66+2,66+2,66+2,64+2,65+2,67+2,67+2,67+2,65+2,"CDM,CB"
11734,209112,57+2,57+2,57+2,60+2,60+2,60+2,60+2,60+2,62+2,62+2,62+2,62+2,66+2,66+2,66+2,62+2,65+2,67+2,67+2,67+2,65+2,64+2,63+2,63+2,63+2,64+2,CM
11735,201944,57+2,57+2,57+2,61+2,59+2,59+2,59+2,61+2,60+2,60+2,60+2,63+2,61+2,61+2,61+2,63+2,66+2,63+2,63+2,63+2,66+2,65+2,62+2,62+2,62+2,65+2,"RB,RWB"
11736,199384,58+2,58+2,58+2,59+2,58+2,58+2,58+2,59+2,57+2,57+2,57+2,60+2,58+2,58+2,58+2,60+2,65+2,62+2,62+2,62+2,65+2,66+2,64+2,64+2,64+2,66+2,"RB,CB,RM"
11737,216791,47+2,47+2,47+2,48+2,46+2,46+2,46+2,48+2,47+2,47+2,47+2,51+2,51+2,51+2,51+2,51+2,62+2,61+2,61+2,61+2,62+2,63+2,66+2,66+2,66+2,63+2,"CB,RB"
11738,202199,,,,,,,,,,,,,,,,,,,,,,,,,,,GK
11739,170966,64+2,64+2,64+2,66+2,65+2,65+2,65+2,66+2,65+2,65+2,65+2,65+2,60+2,60+2,60+2,65+2,55+2,52+2,52+2,52+2,55+2,52+2,48+2,48+2,48+2,52+2,RM
11740,228310,47+2,47+2,47+2,49+2,48+2,48+2,48+2,49+2,49+2,49+2,49+2,51+2,51+2,51+2,51+2,51+2,60+2,61+2,61+2,61+2,60+2,62+2,65+2,65+2,65+2,62+2,"CB,RB"
